0xa28b5e37712389f72b23251a916b65aae8a47939b49ac5ff3573993b745f1272, 1580994596, SAI, 17.99493459425921, ETH, 0.07955804609084365
0xc670619855f1c37a93dee9708347e7dd260514c0c7daea8e76197b017590ead7, 1580996791, DAI, 305.9694901903926, ETH, 1.3398698812761913
0x0b7cf1a488f6a7a7efadfbe36d88caad53eefcb1839a5e67f1735d87789c5369, 1581036338, SAI, 15.768349590519483, ETH, 0.0690726151294749
0xe8c8ca78d81141e3dfb3d5c3834474f516ffb1f995f56977b3314934ce7796c8, 1581037972, USDC, 404.32686815753135, ETH, 1.7818389143005036
0xc419c7c18c5d8236163d643b2a246359ab8c11ac0197b41fcb238a55cd582aee, 1581039734, DAI, 56710.93795364728, ETH, 247.93577771964164
0x1ab00741f248a93bf9cc2e72e47729115048f5f22101a0fb6d270c2b3e6f57a6, 1581041123, DAI, 578.0247238465057, ETH, 2.5010610397571305
0x5db5be5d2e3038ab86321ee0c09b05b0890c656c26ad0bcc61c80f4e5f00daf8, 1581041139, SAI, 4.645547029128517, ETH, 0.020100864554788267
0xe1ffe18e2d64bb38d9a5716d0e091aeb4bae4fa4acb3c493983450917d2ecdce, 1581041139, SAI, 4.782150345816079, ETH, 0.020691934831000697
0x94b40ad9e2c12203a956a2d99a2d342dffb98e4026cdeaff7c6f021ae0b5f86b, 1581041238, SAI, 2.400004942036569, ETH, 0.010384605724167096
0xefb711d37f879c8da16746cd47b571acdfcf97434a8cbf704b16fe6681bbc639, 1581041323, DAI, 44.861646690380475, ETH, 0.19411231403760426
0xef8c026ba2f9353143a28021ca8890373211057dc4bfbb974f1ad0293eb96753, 1581041325, SAI, 39.720862575504796, ETH, 0.17186860311482458
0x464480b3f2e62d5a1f067add88da77402bc8f434e1d5d2d3eb9abea05a372028, 1581069132, USDC, 0.7877260016576726, ETH, 0.003441354311101749
0xa545587d9e76dbb3abb2267ef20bbf5cbebd0c008cd914193cfb561406015748, 1581069466, SAI, 0.7715354380474263, ETH, 0.003376405958232277
0x5d92ebd614baa92cc9efe79bd60cff4a9612a9ec3de5f323e8b54da6d620202e, 1581069686, SAI, 0.8089156267752003, ETH, 0.003539989749933542
0xf4c613bea916e2b581b4b751fe972a278537cc82709cbb8ae2ce7f24aad08e99, 1581072110, SAI, 5.9460488599315156, ETH, 0.025582749293571114
0xea9dea642cacf7ffd02dbbf95ce91f959597cc38301b85d8253f81b099abfcd8, 1581074179, USDC, 600.9505168197253, ETH, 2.5734434601764455
0x1a63429f1bccf2c036f101b0f03fc809acb6155ce7fb8a5636243538bd1fb52d, 1581087082, SAI, 2.2480433884031514, ETH, 0.00958354241400662
0x4c1b8fbc79193947c8dfa2c9bac8e4214cfb00c9c320498f8f7e947dc48b6ff2, 1581098145, SAI, 0.29271391531398927, ETH, 0.00125
0xd5402c6ccd7f363bfb87a074e9b33a57389b89fbcef19509d81ee68fe4ff7c0b, 1581152143, DAI, 502.38459932234707, ETH, 2.1290039222137302
0x430a243a0aa2055c4e5128d86968aeafaf29ca8ef355ac958ca3fc5a8ace40ca, 1581157342, DAI, 0.26963949465180087, ETH, 0.001139004368310679
0x2d2cacc199ac0d235468c42a987712f676dd6097c740114a7632eeaca6c95a65, 1581157348, SAI, 0.8621653141290958, ETH, 0.003641937022564381
0x16838d0c1d293058899a37b455a21f3af3b4084d8864ff5d9e6dae84a2e07041, 1581157855, DAI, 53.858674101787194, ETH, 0.22723145473821868
0xf306c91f054320a9703c38677a5fe6951cb3b9e2b30f37481eddf7af9c536cda, 1581167305, SAI, 0.8739444533911928, ETH, 0.00368719937575576
0x45d8d854b2c68325cdc7dcdb457d9ca0236288d21769097d687d60b33ce88038, 1581222093, BAT, 366.3978673774667, ETH, 0.3927
0xcc2e6eca0b2a67c4c415d491ac7cc84850e8bb8d1355e417d376db00b17cecc0, 1581231264, DAI, 249.2465169652096, ETH, 1.0373200191285945
0x66c9077a232a0c2b6f17a96c89b49855f3241e4a388942fa479440531968ac28, 1581232392, SAI, 21.444916515399886, ETH, 0.08923238965199501
0x4c65689e5994804665f0243f479db43ead3f6c2b468296e46cd055082346c0be, 1581232488, USDC, 20.996082518634612, ETH, 0.08747082988312609
0x2fbd5d8cf37f49fa83786eb684d5bbb015a8c16d94567acdcccf6422949a3800, 1581264251, SAI, 3.6699133203066054, ETH, 0.0153
0x68175b1268382c9deb1d84fed8f74c25ceb87f61e7f0bc2d03f1550f8da1bc2c, 1581285995, SAI, 0.2842729547344107, ETH, 0.001194209013463385
0x3fec2f4f5ef2630567fd48a7a023c37a0b981947ba2cf95bb7693d00db98a2c3, 1581333452, SAI, 0.022798192593143838, ETH, 0.0001
0xb6ea908c5b1567c0614b456a9fe50e9c32eaaefb0e7d31813cafe57be25f4851, 1581334643, USDC, 0.4607819999976242, ETH, 0.002
0xf7d6ac08cff0a365fa044340fdb13726997926aa4b07d61f9cac8cafa3b9617d, 1581349760, USDC, 0.04705574991075998, ETH, 0.0002
0xa4dc9d8b661dfd8019b92acb878def216a60b3bea414c3bfb1470f946b7f12c4, 1581350333, USDC, 0.04705574984487472, ETH, 0.0002
0x05d62ce05dd81e605f23a5f458e7e403c4131a8640815e12b52c1a17df07b8b8, 1581421338, DAI, 14.20946853697914, ETH, 0.06138691336726531
0x8d214fb532de6483530854446b121b9773a0889e1d0d82a8615ef4cde451c9eb, 1581437388, USDC, 699.5190278440787, ETH, 2.896307268702327
0xca2f8be5734da35903feff326608829cc2f8d065b73648745d8f3287c9e781ec, 1581440730, SAI, 9.5526709829317, ETH, 0.03927701284134042
0xe58d3a2c8e8b804caf3f34ff0b6a736698d49d28aaea81f26ebafcc8f6a484ed, 1581440951, DAI, 6.7084918312455635, ETH, 0.027582811161244995
0x298be57e6bdc3154e9cc78400c5969595fc7093e421c84bb42f8a921525eed6c, 1581441162, SAI, 5.56644059715225, ETH, 0.02282538784586124
